Status,           Sample ID       ,Sample Volume (ml),Internal standard volume (ul),Calculated Conc,Sample Conc
U,207,2,40,5.792,0.579173475
U,274,2,40,5.714,0.571365502
U,143,2,40,5.631,0.563127881
U,147,2,40,5.491,0.549069363
R,248,1,40,5.458,1.091668088
U,246,2,40,5.265,0.526506491
U,276,2,40,5.203,0.520296176
R,197,1,40,5.191,1.038171552
U,125,2,40,5.073,0.507299589
U,77,2,40,5.055,0.505519557
U,65,2,40,5.028,0.50280654
U,223,2,40,5.007,0.500726189
U,283,2,40,4.882,0.488242039
U,78,2,40,4.833,0.483321357
U,300,2,40,4.754,0.47538488
U,250,2,40,4.691,0.469127625
U,47,2,40,4.654,0.465409615
U,302,2,40,4.624,0.46242598
R,91,1,40,4.61,0.921971939
U,233,2,40,4.437,0.44369603
U,11,2,20,4.42,0.221001779
U,234,2,40,4.384,0.438425573
U,284,2,40,4.057,0.405656906
U,214,2,40,4.015,0.401519947
U,173,2,40,3.854,0.385405615
U,142,2,40,3.734,0.373354106
U,231,2,40,3.73,0.373020562
U,199,2,40,3.67,0.366975653
U,253,2,40,3.624,0.362431365
U,211,2,40,3.623,0.362296499
U,165,2,40,3.54,0.354012678
U,184,2,40,3.5,0.349985226
U,260,2,40,3.495,0.349528116
U,183,2,40,3.433,0.34332474
U,254,2,40,3.423,0.342291911
U,30,2,40,3.412,0.341176456
U,79,2,40,3.348,0.334823205
U,50,2,40,3.334,0.333400384
R,158,1,40,3.322,0.664324816
U,144,2,40,3.223,0.322309821
U,174,2,40,3.217,0.321714516
R,182,1,40,3.208,0.64157084
U,285,2,40,3.198,0.319758937
U,80,2,40,3.166,0.316578358
R,168,1,40,3.159,0.631791883
U,262,2,40,3.121,0.312095739
U,40,2,40,3.004,0.30040752
R,81,1,40,2.999,0.599701367
R,157,1,40,2.977,0.595355066
R,97,1,40,2.924,0.584864985
U,25,2,40,2.786,0.278562047
U,251,2,40,2.697,0.269666044
U,60,2,40,2.663,0.266311839
U,287,2,40,2.661,0.266127663
U,194,2,40,2.64,0.263988753
R,239,1,40,2.638,0.527588634
U,186,2,40,2.636,0.263595345
U,256,2,40,2.617,0.261682702
U,167,2,40,2.591,0.259140321
U,263,2,40,2.535,0.253511614
U,321,2,40,2.529,0.252923388
U,201,2,40,2.488,0.248816671
U,185,2,40,2.446,0.24464305
U,195,2,40,2.384,0.238419951
U,59,2,40,2.374,0.237384712
U,196,2,40,2.331,0.233094353
U,271,2,40,2.242,0.22415471
U,141,2,40,2.182,0.218157022
U,303,2,40,2.042,0.204173116
U,282,2,40,1.989,0.198893579
U,73,2,40,1.881,0.188050713
U,202,2,40,1.728,0.172806274
U,198,2,40,1.514,0.15141868
U,261,2,40,1.508,0.150842516
